frequency,duration,pcid
33435,4466390.0,318
33431,6010910.0,882
33411,5697230.0,749
33350,4631640.0,303
33321,4547260.0,1043
33280,4088100.0,1049
33278,6985970.0,1918
33246,3970930.0,1059
33231,8236970.0,906
33198,4663070.0,1315
33178,5584710.0,1856
33177,5596700.0,1144
32938,4645440.0,163
32870,5009300.0,1246
32861,6012510.0,1620
32745,5524820.0,905
32732,5497640.0,1896
32715,5748880.0,226
32714,5039390.0,95
32672,4570030.0,1095
32670,4249340.0,869
32617,4242340.0,741
32399,6858580.0,93
32337,3846890.0,519
32311,4913580.0,539
32310,5163170.0,1446
32276,4468070.0,1165
32257,6707390.0,1613
32246,5227750.0,622
32192,5847940.0,184
32112,6276980.0,1000
32062,4920880.0,1748
32003,4680890.0,1872
31883,4788480.0,1093
31795,5497610.0,1014
31708,5423510.0,1865
31580,4978610.0,795
31506,7667070.0,2006
31451,6873850.0,2038
31439,5128440.0,1020
31337,4081550.0,669
31282,7028690.0,781
31224,3965790.0,1313
31217,4304560.0,1061
30935,5751010.0,1751
30935,5069050.0,855
30845,4182210.0,861
30745,4074360.0,2023
30624,5481690.0,638
30613,5226620.0,980
30557,4154420.0,1461
30407,5341700.0,1196
30193,4813600.0,951
30177,5118100.0,1862
30137,4532390.0,2041
30090,4452440.0,803
29892,5771430.0,1150
29785,3452120.0,575
29690,5345220.0,1518
29642,4662570.0,1700
29468,4629380.0,1385
29433,5196220.0,454
29425,4252390.0,440
29421,4447100.0,572
29329,7608090.0,1512
29231,3129070.0,1205
29212,6342330.0,1526
29140,5656270.0,1627
29129,4687850.0,871
29095,4059600.0,1197
29057,3764720.0,1936
29045,6635140.0,1194
28744,5203990.0,555
28716,5201730.0,1867
28636,5234210.0,1012
28632,5327670.0,1886
28546,4257420.0,998
28513,4098970.0,1999
28443,4040920.0,143
28398,5336100.0,752
28302,4106510.0,920
28292,4521560.0,1785
28217,4787960.0,1993
28189,3490470.0,101
28078,3876190.0,496
28027,4485790.0,383
27952,3043930.0,58
27890,4242940.0,1323
27870,4315030.0,139
27865,5105670.0,981
27748,5067250.0,412
27616,5555750.0,1910
27592,4184500.0,626
27567,3884970.0,917
27541,6133270.0,1499
27515,6709550.0,1239
27475,5158580.0,1758
27457,5426570.0,1782
27384,4308020.0,966
27356,3738310.0,357
27327,3176500.0,229
27230,5188110.0,636
27206,4034150.0,1129
27086,3873030.0,1673
26999,4528490.0,1136
26948,5701310.0,339
26794,4907020.0,1175
26772,4070210.0,541
26651,3235670.0,1569
26411,3883500.0,1601
26381,6156840.0,811
26293,4664660.0,1308
26268,5540390.0,1407
26203,5804770.0,1018
26177,4521360.0,527
26162,3923980.0,928
26153,3387660.0,1449
26132,4024050.0,1470
26057,4017390.0,922
26019,5262840.0,444
26013,7020260.0,746
25981,4217640.0,486
25972,3110200.0,1562
25896,4871990.0,1321
25862,3550230.0,913
25846,3499170.0,1045
25845,3836220.0,2036
25830,3375960.0,461
25804,3364260.0,771
25772,4692460.0,1938
25734,4103460.0,1570
25729,5164830.0,1299
25641,4383040.0,311
25640,6541460.0,1508
25635,3698540.0,668
25572,5960850.0,663
25544,4598750.0,1614
25521,2983870.0,798
25507,3510440.0,1459
25498,3325380.0,271
25446,4344170.0,1484
25421,3757710.0,807
25378,3270580.0,51
25337,4791030.0,1915
25326,4108110.0,1225
25298,3703410.0,237
25271,4959070.0,47
25216,4767290.0,1428
25186,3476850.0,1709
25148,3799290.0,825
25110,5017820.0,715
25106,3696210.0,1900
25060,3080840.0,353
25044,5039840.0,1179
24967,3878140.0,1928
24955,2416830.0,1039
24916,4359430.0,893
24883,3418660.0,323
24850,3387380.0,933
24804,3248740.0,839
24725,3787220.0,829
24667,3839990.0,1463
24486,4113910.0,109
24426,3503680.0,2032
24418,4181760.0,978
24415,3572870.0,1291
24375,4608520.0,1076
24343,6023530.0,558
24337,3556070.0,2009
24148,4276260.0,188
24147,3473620.0,1663
24120,2953600.0,1189
23966,4528090.0,823
23828,3515470.0,2000
23801,5235930.0,2014
23738,3182380.0,1103
23710,4126640.0,1404
23680,6775570.0,1190
23627,4644520.0,1488
23599,2330380.0,485
23588,3608270.0,219
23578,3779190.0,1278
23537,3855170.0,950
23523,4832580.0,2024
23468,3526820.0,430
23445,3259950.0,1101
23385,4254820.0,2002
23339,3587610.0,835
23321,3731280.0,1005
23318,3779530.0,1472
23309,3965350.0,1294
23291,4003750.0,1454
23278,3395350.0,327
23273,4315510.0,206
23273,4084200.0,1631
23243,5777750.0,1789
23154,3252920.0,1951
22968,3112100.0,245
22964,4764860.0,1013
22870,2777910.0,1560
22851,3482790.0,880
22761,2906350.0,1183
22746,3040060.0,403
22714,3899280.0,941
22668,3687600.0,723
22649,3868560.0,1738
22647,4379640.0,748
22620,5007000.0,990
22606,3385140.0,1684
22501,2571340.0,918
22469,4686530.0,2029
22415,3219940.0,457
22402,3628820.0,764
22396,2763620.0,1441
22368,3291750.0,1065
22350,3339950.0,701
22334,3124960.0,1984
22299,2802720.0,1035
22281,2670320.0,1924
22277,2734740.0,1796
22269,4540280.0,62
22204,2860170.0,1701
22138,3655100.0,885
22053,3365990.0,629
22043,3993140.0,1471
22023,3982200.0,1516
22020,3105860.0,828
21999,4111670.0,1502
21965,3965410.0,1326
21942,3111270.0,1111
21866,2922560.0,1855
21858,2776980.0,355
21837,3067300.0,450
21791,4155350.0,1235
21767,3204170.0,1330
21747,3260490.0,1641
21621,2947870.0,988
21561,3051290.0,1690
21510,2577740.0,1038
21500,2572110.0,1920
21476,4187500.0,1015
21459,3740540.0,490
21375,3567500.0,1858
21371,3665440.0,718
21365,3599490.0,1946
21354,2815810.0,543
21348,2712080.0,199
21327,3792050.0,1975
21320,4094970.0,502
21305,2755760.0,647
21295,2921980.0,1182
21238,2822380.0,57
21236,3600290.0,1458
21218,2530300.0,1665
21202,3429410.0,1871
21191,3476570.0,659
21181,2692810.0,711
21148,3902630.0,991
21055,3738260.0,2008
21016,3246840.0,697
20992,2912100.0,107
20929,3036070.0,1451
20848,3130730.0,865
20818,2967210.0,1074
20815,2875700.0,445
20798,3960100.0,934
20772,3651930.0,847
20744,2784270.0,1193
20708,4154700.0,1017
20683,2626240.0,1274
20681,4747760.0,2033
20672,5639090.0,1403
20657,3460040.0,1244
20617,2721090.0,824
20616,3950070.0,1902
20614,2881240.0,155
20597,3426520.0,482
20495,3060040.0,1956
20490,3773090.0,1636
20445,2532290.0,1548
20294,2642620.0,542
20294,4435940.0,690
20293,3631030.0,1685
20292,2601580.0,183
20200,2410370.0,1539
20169,2040630.0,1580
20062,2960300.0,625
20049,3145820.0,1185
20009,3120530.0,1328
19909,3720460.0,987
19879,2629980.0,439
19868,2702010.0,1109
19865,4158500.0,1903
19854,3929260.0,1202
19851,2664540.0,167
19766,3134820.0,1119
19762,4995070.0,174
19754,2097220.0,189
